Chapter,sentence_range,Text
1,28-31,"25
Gallium
Ga
31
69 72
Germanium
Ge
32
72 61
Gold
Au
79
196 97
Hafnium
Hf
72
178"
1,29-32,"72
Germanium
Ge
32
72 61
Gold
Au
79
196 97
Hafnium
Hf
72
178 49
Hassium
Hs
108
(269)
Helium
He
2
4"
1,30-33,"61
Gold
Au
79
196 97
Hafnium
Hf
72
178 49
Hassium
Hs
108
(269)
Helium
He
2
4 00
Holmium
Ho
67
164"
1,31-34,"97
Hafnium
Hf
72
178 49
Hassium
Hs
108
(269)
Helium
He
2
4 00
Holmium
Ho
67
164 93
Hydrogen
H
1
 1"
1,32-35,"49
Hassium
Hs
108
(269)
Helium
He
2
4 00
Holmium
Ho
67
164 93
Hydrogen
H
1
 1 0079
Indium
In
49
  114"
1,33-36,"00
Holmium
Ho
67
164 93
Hydrogen
H
1
 1 0079
Indium
In
49
  114 82
Iodine
I
53
  126"
1,34-37,"93
Hydrogen
H
1
 1 0079
Indium
In
49
  114 82
Iodine
I
53
  126 90
Iridium
Ir
77
192"
1,35-38,"0079
Indium
In
49
  114 82
Iodine
I
53
  126 90
Iridium
Ir
77
192 2
Iron
Fe
26
55"
1,36-39,"82
Iodine
I
53
  126 90
Iridium
Ir
77
192 2
Iron
Fe
26
55 85
Krypton
Kr
36
83"
1,37-40,"90
Iridium
Ir
77
192 2
Iron
Fe
26
55 85
Krypton
Kr
36
83 80
Lanthanum
La
57
138"
1,38-41,"2
Iron
Fe
26
55 85
Krypton
Kr
36
83 80
Lanthanum
La
57
138 91
Lawrencium
Lr
103
(262"
1,39-42,"85
Krypton
Kr
36
83 80
Lanthanum
La
57
138 91
Lawrencium
Lr
103
(262 1)
Lead
Pb
82
207"
1,40-43,"80
Lanthanum
La
57
138 91
Lawrencium
Lr
103
(262 1)
Lead
Pb
82
207 19
Lithium
Li
3
6"
1,41-44,"91
Lawrencium
Lr
103
(262 1)
Lead
Pb
82
207 19
Lithium
Li
3
6 94
Lutetium
Lu
71
174"
1,42-45,"1)
Lead
Pb
82
207 19
Lithium
Li
3
6 94
Lutetium
Lu
71
174 96
Magnesium
Mg
12
24"
1,43-46,"19
Lithium
Li
3
6 94
Lutetium
Lu
71
174 96
Magnesium
Mg
12
24 31
Manganese
Mn
25
54"
1,44-47,"94
Lutetium
Lu
71
174 96
Magnesium
Mg
12
24 31
Manganese
Mn
25
54 94
Meitneium
Mt
109
(268)
Mendelevium
Md
101
258"
1,45-48,"96
Magnesium
Mg
12
24 31
Manganese
Mn
25
54 94
Meitneium
Mt
109
(268)
Mendelevium
Md
101
258 10
Mercury
  Hg
80
200"
1,46-49,"31
Manganese
Mn
25
54 94
Meitneium
Mt
109
(268)
Mendelevium
Md
101
258 10
Mercury
  Hg
80
200 59
Molybdenum
Mo
42
95"
1,47-50,"94
Meitneium
Mt
109
(268)
Mendelevium
Md
101
258 10
Mercury
  Hg
80
200 59
Molybdenum
Mo
42
95 94
Neodymium
Nd
60
144"
1,48-51,"10
Mercury
  Hg
80
200 59
Molybdenum
Mo
42
95 94
Neodymium
Nd
60
144 24
Neon
Ne
10
20"
1,49-52,"59
Molybdenum
Mo
42
95 94
Neodymium
Nd
60
144 24
Neon
Ne
10
20 18
Neptunium
Np
93
(237"
1,50-53,"94
Neodymium
Nd
60
144 24
Neon
Ne
10
20 18
Neptunium
Np
93
(237 05)
Nickel
Ni
28
58"
1,51-54,"24
Neon
Ne
10
20 18
Neptunium
Np
93
(237 05)
Nickel
Ni
28
58 71
Niobium
Nb
41
92"
1,52-55,"18
Neptunium
Np
93
(237 05)
Nickel
Ni
28
58 71
Niobium
Nb
41
92 91
Nitrogen
N
7
14"
1,53-56,"05)
Nickel
Ni
28
58 71
Niobium
Nb
41
92 91
Nitrogen
N
7
14 0067
Nobelium
No
102
(259)
Osmium
Os
76
190"
1,54-57,"71
Niobium
Nb
41
92 91
Nitrogen
N
7
14 0067
Nobelium
No
102
(259)
Osmium
Os
76
190 2
Oxygen
O
8
16"
1,55-58,"91
Nitrogen
N
7
14 0067
Nobelium
No
102
(259)
Osmium
Os
76
190 2
Oxygen
O
8
16 00
Palladium
Pd
46
106"
1,56-59,"0067
Nobelium
No
102
(259)
Osmium
Os
76
190 2
Oxygen
O
8
16 00
Palladium
Pd
46
106 4
Phosphorus
P
15
30"
1,57-60,"2
Oxygen
O
8
16 00
Palladium
Pd
46
106 4
Phosphorus
P
15
30 97
Platinum
Pt
78
195"
1,58-61,"00
Palladium
Pd
46
106 4
Phosphorus
P
15
30 97
Platinum
Pt
78
195 09
Plutonium
Pu
94
(244)
Polonium
Po
84
210
Potassium
K
19
39"
1,59-62,"4
Phosphorus
P
15
30 97
Platinum
Pt
78
195 09
Plutonium
Pu
94
(244)
Polonium
Po
84
210
Potassium
K
19
39 10
Praseodymium
Pr
59
140"
1,60-63,"97
Platinum
Pt
78
195 09
Plutonium
Pu
94
(244)
Polonium
Po
84
210
Potassium
K
19
39 10
Praseodymium
Pr
59
140 91
Promethium
Pm
61
(145)
Protactinium
Pa
91
231"
1,61-64,"09
Plutonium
Pu
94
(244)
Polonium
Po
84
210
Potassium
K
19
39 10
Praseodymium
Pr
59
140 91
Promethium
Pm
61
(145)
Protactinium
Pa
91
231 04
Radium
Ra
88
(226)
Radon
Rn
86
(222)
Rhenium
Re
75
186"
1,62-65,"10
Praseodymium
Pr
59
140 91
Promethium
Pm
61
(145)
Protactinium
Pa
91
231 04
Radium
Ra
88
(226)
Radon
Rn
86
(222)
Rhenium
Re
75
186 2
Rhodium
Rh
45
102"
1,63-66,"91
Promethium
Pm
61
(145)
Protactinium
Pa
91
231 04
Radium
Ra
88
(226)
Radon
Rn
86
(222)
Rhenium
Re
75
186 2
Rhodium
Rh
45
102 91
Rubidium
Rb
37
85"
1,64-67,"04
Radium
Ra
88
(226)
Radon
Rn
86
(222)
Rhenium
Re
75
186 2
Rhodium
Rh
45
102 91
Rubidium
Rb
37
85 47
Ruthenium
Ru
44
101"
1,65-68,"2
Rhodium
Rh
45
102 91
Rubidium
Rb
37
85 47
Ruthenium
Ru
44
101 07
Rutherfordium
Rf
104
(261)
Samarium
Sm
62
150"
1,66-69,"91
Rubidium
Rb
37
85 47
Ruthenium
Ru
44
101 07
Rutherfordium
Rf
104
(261)
Samarium
Sm
62
150 35
Scandium
Sc
21
44"
1,67-70,"47
Ruthenium
Ru
44
101 07
Rutherfordium
Rf
104
(261)
Samarium
Sm
62
150 35
Scandium
Sc
21
44 96
Seaborgium
Sg
106
(266)
Selenium
Se
34
78"
1,68-71,"07
Rutherfordium
Rf
104
(261)
Samarium
Sm
62
150 35
Scandium
Sc
21
44 96
Seaborgium
Sg
106
(266)
Selenium
Se
34
78 96
Silicon
Si
14
28"
1,69-72,"35
Scandium
Sc
21
44 96
Seaborgium
Sg
106
(266)
Selenium
Se
34
78 96
Silicon
Si
14
28 08
Silver
Ag
47
107"
1,70-73,"96
Seaborgium
Sg
106
(266)
Selenium
Se
34
78 96
Silicon
Si
14
28 08
Silver
Ag
47
107 87
Sodium
Na
11
22"
1,71-74,"96
Silicon
Si
14
28 08
Silver
Ag
47
107 87
Sodium
Na
11
22 99
Strontium
Sr
38
87"
1,72-75,"08
Silver
Ag
47
107 87
Sodium
Na
11
22 99
Strontium
Sr
38
87 62
Sulphur
S
16
32"
1,73-76,"87
Sodium
Na
11
22 99
Strontium
Sr
38
87 62
Sulphur
S
16
32 06
Tantalum
Ta
73
180"
1,74-77,"99
Strontium
Sr
38
87 62
Sulphur
S
16
32 06
Tantalum
Ta
73
180 95
Technetium
Tc
43
(98"
1,75-78,"62
Sulphur
S
16
32 06
Tantalum
Ta
73
180 95
Technetium
Tc
43
(98 91)
Tellurium
Te
52
127"
1,76-79,"06
Tantalum
Ta
73
180 95
Technetium
Tc
43
(98 91)
Tellurium
Te
52
127 60
Terbium
Tb
65
158"
1,77-80,"95
Technetium
Tc
43
(98 91)
Tellurium
Te
52
127 60
Terbium
Tb
65
158 92
Thallium
Tl
81
204"
1,78-81,"91)
Tellurium
Te
52
127 60
Terbium
Tb
65
158 92
Thallium
Tl
81
204 37
Thorium
Th
90
232"
1,79-82,"60
Terbium
Tb
65
158 92
Thallium
Tl
81
204 37
Thorium
Th
90
232 04
Thulium
Tm
69
168"
1,80-83,"92
Thallium
Tl
81
204 37
Thorium
Th
90
232 04
Thulium
Tm
69
168 93
Tin
Sn
50
118"
1,81-84,"37
Thorium
Th
90
232 04
Thulium
Tm
69
168 93
Tin
Sn
50
118 69
Titanium
Ti
22
47"
1,82-85,"04
Thulium
Tm
69
168 93
Tin
Sn
50
118 69
Titanium
Ti
22
47 88
Tungsten
W
74
183"
1,83-86,"93
Tin
Sn
50
118 69
Titanium
Ti
22
47 88
Tungsten
W
74
183 85
Ununbium
Uub
112
(277)
Ununnilium
Uun
110
(269)
Unununium
Uuu
111
(272)
Uranium
U
92
238"
1,84-87,"69
Titanium
Ti
22
47 88
Tungsten
W
74
183 85
Ununbium
Uub
112
(277)
Ununnilium
Uun
110
(269)
Unununium
Uuu
111
(272)
Uranium
U
92
238 03
Vanadium
V
23
50"
1,85-88,"88
Tungsten
W
74
183 85
Ununbium
Uub
112
(277)
Ununnilium
Uun
110
(269)
Unununium
Uuu
111
(272)
Uranium
U
92
238 03
Vanadium
V
23
50 94
Xenon
Xe
54
131"
1,86-89,"85
Ununbium
Uub
112
(277)
Ununnilium
Uun
110
(269)
Unununium
Uuu
111
(272)
Uranium
U
92
238 03
Vanadium
V
23
50 94
Xenon
Xe
54
131 30
Ytterbium
Yb
70
173"
1,87-90,"03
Vanadium
V
23
50 94
Xenon
Xe
54
131 30
Ytterbium
Yb
70
173 04
Yttrium
Y
39
88"
1,88-91,"94
Xenon
Xe
54
131 30
Ytterbium
Yb
70
173 04
Yttrium
Y
39
88 91
Zinc
Zn
30
65"
1,89-92,"30
Ytterbium
Yb
70
173 04
Yttrium
Y
39
88 91
Zinc
Zn
30
65 37
Zirconium
Zr
40
91"
1,90-93,"04
Yttrium
Y
39
88 91
Zinc
Zn
30
65 37
Zirconium
Zr
40
91 22
Element
Symbol
Atomic
Molar
Number
mass/
 (g mol–1)
The value given in parenthesis is the molar mass of the isotope of largest known half-life"
1,91-94,"91
Zinc
Zn
30
65 37
Zirconium
Zr
40
91 22
Element
Symbol
Atomic
Molar
Number
mass/
 (g mol–1)
The value given in parenthesis is the molar mass of the isotope of largest known half-life Elements, their Atomic Number and Molar Mass
APPENDIX I
Rationalised 2023-24
142
Chemistry
Common Unit of Mass and Weight
1 pound = 453"
1,92-95,"37
Zirconium
Zr
40
91 22
Element
Symbol
Atomic
Molar
Number
mass/
 (g mol–1)
The value given in parenthesis is the molar mass of the isotope of largest known half-life Elements, their Atomic Number and Molar Mass
APPENDIX I
Rationalised 2023-24
142
Chemistry
Common Unit of Mass and Weight
1 pound = 453 59 grams
1 pound  = 453"
1,93-96,"22
Element
Symbol
Atomic
Molar
Number
mass/
 (g mol–1)
The value given in parenthesis is the molar mass of the isotope of largest known half-life Elements, their Atomic Number and Molar Mass
APPENDIX I
Rationalised 2023-24
142
Chemistry
Common Unit of Mass and Weight
1 pound = 453 59 grams
1 pound  = 453 59 grams = 0"
1,94-97,"Elements, their Atomic Number and Molar Mass
APPENDIX I
Rationalised 2023-24
142
Chemistry
Common Unit of Mass and Weight
1 pound = 453 59 grams
1 pound  = 453 59 grams = 0 45359 kilogram
1 kilogram = 1000 grams = 2"
1,95-98,"59 grams
1 pound  = 453 59 grams = 0 45359 kilogram
1 kilogram = 1000 grams = 2 205 pounds
1 gram = 10 decigrams = 100 centigrams
 =  1000 milligrams
1 gram = 6"
1,96-99,"59 grams = 0 45359 kilogram
1 kilogram = 1000 grams = 2 205 pounds
1 gram = 10 decigrams = 100 centigrams
 =  1000 milligrams
1 gram = 6 022 ´ 1023 atomic mass units or u
1 atomic mass unit = 1"
1,97-100,"45359 kilogram
1 kilogram = 1000 grams = 2 205 pounds
1 gram = 10 decigrams = 100 centigrams
 =  1000 milligrams
1 gram = 6 022 ´ 1023 atomic mass units or u
1 atomic mass unit = 1 6606 ´ 10–24 gram
1 metric tonne = 1000 kilograms
           = 2205 pounds
Common Unit of Volume
1 quart = 0"
1,98-101,"205 pounds
1 gram = 10 decigrams = 100 centigrams
 =  1000 milligrams
1 gram = 6 022 ´ 1023 atomic mass units or u
1 atomic mass unit = 1 6606 ´ 10–24 gram
1 metric tonne = 1000 kilograms
           = 2205 pounds
Common Unit of Volume
1 quart = 0 9463 litre
1 litre  = 1"
1,99-102,"022 ´ 1023 atomic mass units or u
1 atomic mass unit = 1 6606 ´ 10–24 gram
1 metric tonne = 1000 kilograms
           = 2205 pounds
Common Unit of Volume
1 quart = 0 9463 litre
1 litre  = 1 056 quarts
1 litre = 1 cubic decimetre = 1000 cubic
centimetres = 0"
1,100-103,"6606 ´ 10–24 gram
1 metric tonne = 1000 kilograms
           = 2205 pounds
Common Unit of Volume
1 quart = 0 9463 litre
1 litre  = 1 056 quarts
1 litre = 1 cubic decimetre = 1000 cubic
centimetres = 0 001 cubic metre
1 millilitre = 1 cubic centimetre = 0"
1,101-104,"9463 litre
1 litre  = 1 056 quarts
1 litre = 1 cubic decimetre = 1000 cubic
centimetres = 0 001 cubic metre
1 millilitre = 1 cubic centimetre = 0 001 litre
    = 1"
1,102-105,"056 quarts
1 litre = 1 cubic decimetre = 1000 cubic
centimetres = 0 001 cubic metre
1 millilitre = 1 cubic centimetre = 0 001 litre
    = 1 056 ´ 10-3 quart
1 cubic foot = 28"
1,103-106,"001 cubic metre
1 millilitre = 1 cubic centimetre = 0 001 litre
    = 1 056 ´ 10-3 quart
1 cubic foot = 28 316 litres = 29"
1,104-107,"001 litre
    = 1 056 ´ 10-3 quart
1 cubic foot = 28 316 litres = 29 902 quarts
      = 7"
1,105-108,"056 ´ 10-3 quart
1 cubic foot = 28 316 litres = 29 902 quarts
      = 7 475 gallons
Common Units of Energy
1 joule = 1 ´´´´´ 107  ergs
1 thermochemical calorie**
=  4"
1,106-109,"316 litres = 29 902 quarts
      = 7 475 gallons
Common Units of Energy
1 joule = 1 ´´´´´ 107  ergs
1 thermochemical calorie**
=  4 184 joules
= 4"
1,107-110,"902 quarts
      = 7 475 gallons
Common Units of Energy
1 joule = 1 ´´´´´ 107  ergs
1 thermochemical calorie**
=  4 184 joules
= 4 184  ´ 107 ergs
= 4"
1,108-111,"475 gallons
Common Units of Energy
1 joule = 1 ´´´´´ 107  ergs
1 thermochemical calorie**
=  4 184 joules
= 4 184  ´ 107 ergs
= 4 129 ´ 10–2 litre-atmospheres
= 2"
1,109-112,"184 joules
= 4 184  ´ 107 ergs
= 4 129 ´ 10–2 litre-atmospheres
= 2 612 ´ 1019 electron volts
1 ergs = 1 ´ 10–7 joule = 2"
1,110-113,"184  ´ 107 ergs
= 4 129 ´ 10–2 litre-atmospheres
= 2 612 ´ 1019 electron volts
1 ergs = 1 ´ 10–7 joule = 2 3901 ´ 10–8 calorie
1 electron volt = 1"
1,111-114,"129 ´ 10–2 litre-atmospheres
= 2 612 ´ 1019 electron volts
1 ergs = 1 ´ 10–7 joule = 2 3901 ´ 10–8 calorie
1 electron volt = 1 6022 ´ 10–19 joule
          = 1"
1,112-115,"612 ´ 1019 electron volts
1 ergs = 1 ´ 10–7 joule = 2 3901 ´ 10–8 calorie
1 electron volt = 1 6022 ´ 10–19 joule
          = 1 6022 ´ 10–12 erg
          = 96"
1,113-116,"3901 ´ 10–8 calorie
1 electron volt = 1 6022 ´ 10–19 joule
          = 1 6022 ´ 10–12 erg
          = 96 487 kJ/mol†
1 litre-atmosphere = 24"
1,114-117,"6022 ´ 10–19 joule
          = 1 6022 ´ 10–12 erg
          = 96 487 kJ/mol†
1 litre-atmosphere = 24 217 calories
   = 101"
1,115-118,"6022 ´ 10–12 erg
          = 96 487 kJ/mol†
1 litre-atmosphere = 24 217 calories
   = 101 32 joules
   = 1"
1,116-119,"487 kJ/mol†
1 litre-atmosphere = 24 217 calories
   = 101 32 joules
   = 1 0132 ´109 ergs
1 British thermal unit = 1055"
1,117-120,"217 calories
   = 101 32 joules
   = 1 0132 ´109 ergs
1 British thermal unit = 1055 06  joules
= 1"
1,118-121,"32 joules
   = 1 0132 ´109 ergs
1 British thermal unit = 1055 06  joules
= 1 05506 ´1010 ergs
= 252"
1,119-122,"0132 ´109 ergs
1 British thermal unit = 1055 06  joules
= 1 05506 ´1010 ergs
= 252 2 calories
Common Units of Length
1 inch = 2"
1,120-123,"06  joules
= 1 05506 ´1010 ergs
= 252 2 calories
Common Units of Length
1 inch = 2 54 centimetres (exactly)
1 mile = 5280 feet = 1"
1,121-124,"05506 ´1010 ergs
= 252 2 calories
Common Units of Length
1 inch = 2 54 centimetres (exactly)
1 mile = 5280 feet = 1 609 kilometres
1 yard = 36 inches = 0"
1,122-125,"2 calories
Common Units of Length
1 inch = 2 54 centimetres (exactly)
1 mile = 5280 feet = 1 609 kilometres
1 yard = 36 inches = 0 9144 metre
1 metre = 100 centimetres = 39"
1,123-126,"54 centimetres (exactly)
1 mile = 5280 feet = 1 609 kilometres
1 yard = 36 inches = 0 9144 metre
1 metre = 100 centimetres = 39 37 inches
= 3"
1,124-127,"609 kilometres
1 yard = 36 inches = 0 9144 metre
1 metre = 100 centimetres = 39 37 inches
= 3 281 feet
= 1"
1,125-128,"9144 metre
1 metre = 100 centimetres = 39 37 inches
= 3 281 feet
= 1 094 yards
1 kilometre = 1000 metres  = 1094 yards
= 0"
1,126-129,"37 inches
= 3 281 feet
= 1 094 yards
1 kilometre = 1000 metres  = 1094 yards
= 0 6215 mile
1 Angstrom = 1"
1,127-130,"281 feet
= 1 094 yards
1 kilometre = 1000 metres  = 1094 yards
= 0 6215 mile
1 Angstrom = 1 0 ´ 10–8 centimetre
       = 0"
1,128-131,"094 yards
1 kilometre = 1000 metres  = 1094 yards
= 0 6215 mile
1 Angstrom = 1 0 ´ 10–8 centimetre
       = 0 10 nanometre
       =  1"
1,129-132,"6215 mile
1 Angstrom = 1 0 ´ 10–8 centimetre
       = 0 10 nanometre
       =  1 0 ´ 10–10 metre
       = 3"
1,130-133,"0 ´ 10–8 centimetre
       = 0 10 nanometre
       =  1 0 ´ 10–10 metre
       = 3 937 ´ 10–9 inch
Common Units of Force* and Pressure
1 atmosphere = 760 millimetres of mercury
 = 1"
1,131-134,"10 nanometre
       =  1 0 ´ 10–10 metre
       = 3 937 ´ 10–9 inch
Common Units of Force* and Pressure
1 atmosphere = 760 millimetres of mercury
 = 1 013 ´ 105 pascals
 =  14"
1,132-135,"0 ´ 10–10 metre
       = 3 937 ´ 10–9 inch
Common Units of Force* and Pressure
1 atmosphere = 760 millimetres of mercury
 = 1 013 ´ 105 pascals
 =  14 70 pounds per square inch
1 bar = 105 pascals
1 torr = 1 millimetre of mercury
1 pascal = 1 kg/ms2 = 1 N/m2
Temperature
SI Base Unit: Kelvin (K)
K  = -273"
1,133-136,"937 ´ 10–9 inch
Common Units of Force* and Pressure
1 atmosphere = 760 millimetres of mercury
 = 1 013 ´ 105 pascals
 =  14 70 pounds per square inch
1 bar = 105 pascals
1 torr = 1 millimetre of mercury
1 pascal = 1 kg/ms2 = 1 N/m2
Temperature
SI Base Unit: Kelvin (K)
K  = -273 15°C
K  =  °C + 273"
1,134-137,"013 ´ 105 pascals
 =  14 70 pounds per square inch
1 bar = 105 pascals
1 torr = 1 millimetre of mercury
1 pascal = 1 kg/ms2 = 1 N/m2
Temperature
SI Base Unit: Kelvin (K)
K  = -273 15°C
K  =  °C + 273 15
°F = 1"
1,135-138,"70 pounds per square inch
1 bar = 105 pascals
1 torr = 1 millimetre of mercury
1 pascal = 1 kg/ms2 = 1 N/m2
Temperature
SI Base Unit: Kelvin (K)
K  = -273 15°C
K  =  °C + 273 15
°F = 1 8(°C) + 32
F
32
C
1"
1,136-139,"15°C
K  =  °C + 273 15
°F = 1 8(°C) + 32
F
32
C
1 8




*
Force: 1 newton (N) = 1 kg m/s2, i"
1,137-140,"15
°F = 1 8(°C) + 32
F
32
C
1 8




*
Force: 1 newton (N) = 1 kg m/s2, i e"
1,138-141,"8(°C) + 32
F
32
C
1 8




*
Force: 1 newton (N) = 1 kg m/s2, i e ,the force that, when applied for 1 second, gives a
1-kilogram mass a velocity of 1 metre per second"
1,139-142,"8




*
Force: 1 newton (N) = 1 kg m/s2, i e ,the force that, when applied for 1 second, gives a
1-kilogram mass a velocity of 1 metre per second †** The amount of heat required to raise the temperature of one gram of water from 14"
1,140-143,"e ,the force that, when applied for 1 second, gives a
1-kilogram mass a velocity of 1 metre per second †** The amount of heat required to raise the temperature of one gram of water from 14 50C to 15"
1,141-144,",the force that, when applied for 1 second, gives a
1-kilogram mass a velocity of 1 metre per second †** The amount of heat required to raise the temperature of one gram of water from 14 50C to 15 50C"
1,142-145,†** The amount of heat required to raise the temperature of one gram of water from 14 50C to 15 50C Note that the other units are per particle and must be multiplied by 6
1,143-146,"50C to 15 50C Note that the other units are per particle and must be multiplied by 6 022 ´1023 to be strictly
comparable"
1,144-147,"50C Note that the other units are per particle and must be multiplied by 6 022 ´1023 to be strictly
comparable Some Useful Conversion Factors
APPENDIX II
Rationalised 2023-24
143
Appendix
Reduction half-reaction
Eo/V
H4XeO6 + 2H+ + 2e– ¾® XeO3 + 3H2O
+3"
1,145-148,"Note that the other units are per particle and must be multiplied by 6 022 ´1023 to be strictly
comparable Some Useful Conversion Factors
APPENDIX II
Rationalised 2023-24
143
Appendix
Reduction half-reaction
Eo/V
H4XeO6 + 2H+ + 2e– ¾® XeO3 + 3H2O
+3 0
F2 + 2e– ¾® 2F–
+2"
1,146-149,"022 ´1023 to be strictly
comparable Some Useful Conversion Factors
APPENDIX II
Rationalised 2023-24
143
Appendix
Reduction half-reaction
Eo/V
H4XeO6 + 2H+ + 2e– ¾® XeO3 + 3H2O
+3 0
F2 + 2e– ¾® 2F–
+2 87
O3 + 2H+ + 2e– ¾® O2 + H2O
+2"
1,147-150,"Some Useful Conversion Factors
APPENDIX II
Rationalised 2023-24
143
Appendix
Reduction half-reaction
Eo/V
H4XeO6 + 2H+ + 2e– ¾® XeO3 + 3H2O
+3 0
F2 + 2e– ¾® 2F–
+2 87
O3 + 2H+ + 2e– ¾® O2 + H2O
+2 07
S2O
2–
8 + 2e– ¾® 2SO
42–
+2"
1,148-151,"0
F2 + 2e– ¾® 2F–
+2 87
O3 + 2H+ + 2e– ¾® O2 + H2O
+2 07
S2O
2–
8 + 2e– ¾® 2SO
42–
+2 05
Ag+ + e– ¾® Ag+
+1"
1,149-152,"87
O3 + 2H+ + 2e– ¾® O2 + H2O
+2 07
S2O
2–
8 + 2e– ¾® 2SO
42–
+2 05
Ag+ + e– ¾® Ag+
+1 98
Co3+ + e– ¾® Co2+
+1"
1,150-153,"07
S2O
2–
8 + 2e– ¾® 2SO
42–
+2 05
Ag+ + e– ¾® Ag+
+1 98
Co3+ + e– ¾® Co2+
+1 81
H2O2 + 2H+ + 2e– ¾® 2H2O
+1"
1,151-154,"05
Ag+ + e– ¾® Ag+
+1 98
Co3+ + e– ¾® Co2+
+1 81
H2O2 + 2H+ + 2e– ¾® 2H2O
+1 78
Au+ + e– ¾® Au
+1"
